iter	RMSE
0	1.963130964
1	1.92504149
2	1.888403517
3	1.853158775
4	1.818968466
5	1.785925307
6	1.754515385
7	1.724662468
8	1.696280439
9	1.668045164
10	1.642147708
11	1.617492983
12	1.592543701
13	1.56919253
14	1.546036886
15	1.524007652
16	1.503226355
17	1.483268766
18	1.464018406
19	1.445849839
20	1.427871493
21	1.410501476
22	1.392959532
23	1.376502678
24	1.360556451
25	1.344801633
26	1.329950682
27	1.316166494
28	1.302443288
29	1.289413201
30	1.27678756
31	1.265112172
32	1.254116158
33	1.243008143
34	1.232705344
35	1.222743196
36	1.213342577
37	1.204368845
38	1.189636662
39	1.175225079
40	1.161831679
41	1.148983431
42	1.137219078
43	1.125335517
44	1.11411387
45	1.103196781
46	1.092807173
47	1.082574802
48	1.072972756
49	1.063742811
50	1.055368794
51	1.047215538
52	1.039405565
53	1.031934383
54	1.024895138
55	1.017701609
56	1.011404378
57	1.005140463
58	0.9986763242
59	0.9929230931
60	0.9871352558
61	0.981295083
62	0.9757109024
63	0.9707520558
64	0.9662121274
65	0.9614202346
66	0.9570338421
67	0.9531709888
68	0.9492443892
69	0.9452848505
70	0.9413304405
71	0.9378040626
72	0.9345811348
73	0.9309321682
74	0.9276957354
75	0.9246797198
76	0.9219609151
77	0.9192782611
78	0.9164402385
79	0.9136747968
80	0.9111407799
81	0.9086398208
82	0.9059328577
83	0.9037673352
84	0.9016190849
85	0.8995009997
86	0.8974053124
87	0.8947079514
88	0.8926935684
89	0.8905993363
90	0.8889755612
91	0.8871867415
92	0.8842254253
93	0.8816370592
94	0.8793777371
95	0.8769669298
96	0.874803565
97	0.8724835934
98	0.8704782682
99	0.8686391765
100	0.8668414198
101	0.8646866237
102	0.8631059497
103	0.8615885876
104	0.8597283525
105	0.8579496352
106	0.8566095631
107	0.854707177
108	0.8533458988
109	0.8511327788
110	0.8499691516
111	0.8483242263
112	0.8467829224
113	0.8456814948
114	0.8445931953
115	0.8435261982
116	0.8420589675
117	0.8406720646
118	0.8395646289
119	0.8380941927
120	0.8367683669
121	0.8358790103
122	0.8347460083
123	0.8338273521
124	0.8330313149
125	0.831997602
126	0.8311703176
127	0.8305436557
128	0.8297282233
129	0.8291407863
130	0.8284609831
131	0.827955473
132	0.8272521583
133	0.8263220431
134	0.8257304521
135	0.8250692668
136	0.8246140945
137	0.8236269448
138	0.8229963358
139	0.822473416
140	0.8217754326
141	0.8213027499
142	0.820829285
143	0.8203213285
144	0.8196546589
145	0.8192126736
146	0.8187256493
147	0.818073499
148	0.8170692011
149	0.8162954862
150	0.8159067463
151	0.8154802333
152	0.8147855781
153	0.814341131
154	0.8136668892
155	0.813253342
156	0.8127279779
157	0.8123439163
158	0.811433057
159	0.8110588409
160	0.8105703295
161	0.8100788455
162	0.8095597832
163	0.8092092164
164	0.8088383132
165	0.808109979
166	0.8071943217
167	0.8068275724
168	0.8062823306
169	0.8060073594
170	0.8055438497
171	0.8053250938
172	0.8049071073
173	0.8045017497
174	0.8042103744
175	0.8036212049
176	0.8033449759
177	0.8025623452
178	0.8019911748
179	0.8013166902
180	0.800485664
181	0.8000541293
182	0.7995043023
183	0.7991982148
184	0.7987348379
185	0.7981544434
186	0.797696612
187	0.7970596121
188	0.7964491864
189	0.7957244192
190	0.7953254185
191	0.7947285488
192	0.7939608764
193	0.7936911863
194	0.7931539207
195	0.7928268993
196	0.7921861907
197	0.7917768924
198	0.7914269297
199	0.7910479415
200	0.7903444702
201	0.7900498631
202	0.7896872953
203	0.7891227977
204	0.7878490799
205	0.7876141113
206	0.7872134584
207	0.7868331485
208	0.7860654584
209	0.7856299669
210	0.7852157229
211	0.7847911826
212	0.7842410386
213	0.7837435693
214	0.7829964416
215	0.7825699853
216	0.782436139
217	0.7820570249
218	0.7817844114
219	0.781015048
220	0.780655728
221	0.7802698602
222	0.7800262022
223	0.7795716562
224	0.7790570487
225	0.7780992031
226	0.7778123321
227	0.7773320473
228	0.7769979276
229	0.7766307455
230	0.776223934
231	0.7758213585
232	0.77543089
233	0.7750105833
234	0.7746939612
235	0.7742312369
236	0.7738159603
237	0.7735134502
238	0.7730074619
239	0.7725016312
240	0.7718940228
241	0.7716291061
242	0.7712336682
243	0.7709186675
244	0.7705375352
245	0.7699802323
246	0.7693478882
247	0.769005082
248	0.7687470285
249	0.768282367
250	0.7675776156
251	0.7673530041
252	0.7667861963
253	0.7664630888
254	0.7660711741
255	0.7658420905
256	0.7643213125
257	0.7640124406
258	0.763802719
259	0.7634994754
260	0.7626834577
261	0.7623513834
262	0.7620761898
263	0.7615798489
264	0.761268622
265	0.7606739629
266	0.7603790298
267	0.7597264686
268	0.7594703019
269	0.7590847652
270	0.7586797205
271	0.7585574614
272	0.7570662425
273	0.7562203776
274	0.7548598246
275	0.754557256
276	0.7543424269
277	0.7540818979
278	0.7538184346
279	0.7526175924
280	0.7523785537
281	0.7520987521
282	0.7519215954
283	0.7516642571
284	0.7514583809
285	0.7511962536
286	0.7509524503
287	0.7505315931
288	0.750258777
289	0.7491381747
290	0.7485249505
291	0.7484859588
292	0.7483537532
293	0.7480972268
294	0.7479126327
295	0.7477795742
296	0.7472661887
297	0.7469468373
298	0.7466759842
299	0.7463707643
300	0.7457852403
301	0.7454503098
302	0.7452270039
303	0.7450888256
304	0.7448634689
305	0.7442482168
306	0.7436730937
307	0.7433813777
308	0.743082362
309	0.7427635144
310	0.7425386329
311	0.7423132076
312	0.7420023655
313	0.7414618695
314	0.7412691772
315	0.7410230728
316	0.7407762244
317	0.7403992186
318	0.7399412468
319	0.739773513
320	0.7396014738
321	0.7392839933
322	0.7390143749
323	0.738798919
324	0.7385171194
325	0.7381777395
326	0.7375650949
327	0.7373511481
328	0.7370562094
329	0.7368937498
330	0.736655629
331	0.7363442504
332	0.7361077241
333	0.7356166438
334	0.7352806299
335	0.7351908017
336	0.7348239126
337	0.7346201248
338	0.7335653013
339	0.7331987737
340	0.7327624171
341	0.7325502527
342	0.732201601
343	0.7319836722
344	0.731794126
345	0.7316377193
346	0.7308478302
347	0.7303485994
348	0.7298907506
349	0.7297265685
350	0.7293242835
351	0.7290068763
352	0.7287800728
353	0.7285921537
354	0.7284519688
355	0.7282442637
356	0.7279422593
357	0.7277185756
