iter	Passed	Remaining
0	89	267616
1	146	219343
2	235	235110
3	309	232024
4	368	220727
5	432	215598
6	491	210280
7	543	203307
8	596	198224
9	648	193852
10	699	189965
11	757	188603
12	817	187765
13	870	185586
14	920	183088
15	974	181747
16	1026	180133
17	1083	179487
18	1137	178390
19	1187	177007
20	1241	176094
21	1292	174916
22	1344	173982
23	1403	174015
24	1463	174162
25	1515	173323
26	1576	173557
27	1627	172745
28	1679	172034
29	1730	171306
30	1783	170827
31	1834	170106
32	1888	169749
33	1939	169204
34	1999	169347
35	2050	168785
36	2103	168418
37	2158	168213
38	2224	168912
39	2285	169144
40	2338	168797
41	2392	168532
42	2444	168104
43	2503	168197
44	2557	167951
45	2610	167608
46	2668	167685
47	2721	167356
48	2782	167553
49	2843	167782
50	2894	167369
51	2948	167143
52	3001	166886
53	3053	166564
54	3107	166404
55	3162	166232
56	3213	165908
57	3273	166034
58	3324	165724
59	3376	165471
60	3430	165297
61	3482	165011
62	3534	164766
63	3593	164864
64	3645	164619
65	3696	164346
66	3755	164416
67	3815	164525
68	3876	164663
69	3929	164483
70	4003	165149
71	4055	164918
72	4114	164960
73	4166	164746
74	4223	164703
75	4274	164466
76	4331	164415
77	4384	164231
78	4442	164276
79	4493	164001
80	4562	164405
81	4613	164169
82	4664	163933
83	4715	163705
84	4768	163546
85	4840	164017
86	4891	163783
87	4942	163537
88	4994	163360
89	5045	163125
90	5110	163358
91	5163	163198
92	5213	162969
93	5264	162765
94	5316	162575
95	5368	162390
96	5418	162166
97	5469	161965
98	5520	161761
99	5572	161599
100	5624	161432
101	5674	161214
102	5732	161220
103	5783	161035
104	5835	160891
105	5887	160748
106	5939	160575
107	6000	160692
108	6053	160550
109	6119	160785
110	6174	160700
111	6225	160541
112	6284	160571
113	6338	160471
114	6393	160382
115	6444	160218
116	6504	160283
117	6569	160463
118	6640	160777
119	6693	160651
120	6755	160741
121	6826	161031
122	6890	161165
123	6953	161280
124	7007	161167
125	7071	161305
126	7125	161188
127	7198	161505
128	7251	161391
129	7311	161419
